"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"CPSF4","ENSG00000160917",-0.0273215688961406,3.68631118033843,0.249564422974431,0.522926329094353,"NONE",-1.15249405980128
"MAP4K3","ENSG00000011566",0.0152096575482168,3.71743608672362,0.247612140380784,0.52107628248528,"NONE",1.15726445152782
"","ENSG00000261324",-0.0239060499310921,1.1497894083204,0.550102778471659,0.771035271210912,"NONE",-0.597934886699686
"SLC2A1-AS1","ENSG00000227533",-0.0318116769236387,2.18745570273444,0.397731950567637,0.657120432380999,"NONE",-0.846266902315811
"RTBDN","ENSG00000132026",-0.0304165466067952,1.76434468669731,0.471753375775818,0.716157384158801,"NONE",-0.720071948141118
"LACTB2","ENSG00000147592",-0.0261942596344542,2.21143707705433,0.392440426400685,0.652319954126934,"NONE",-0.855800357439444
"MOK","ENSG00000080823",-0.0242795221412382,3.0888936106338,0.292215737461143,0.564100597488941,"NONE",-1.05417431589108
"SDF2","ENSG00000132581",-0.0214802964551639,3.52663854915589,0.257193280978482,0.530157638066642,"NONE",-1.13409939196917
"PEG10","ENSG00000242265",-0.0417039080587651,4.31202004499584,0.246709817064999,0.520132785048784,"NONE",-1.15947819254155
"CCSER1","ENSG00000184305",-0.0205592519916795,1.17639798420379,0.563831843765553,0.778172398888439,"NONE",-0.577471198519433
"RHOF","ENSG00000139725",-0.00970953109973438,-0.116009102860496,0.913716303213121,0.963045523534298,"NONE",-0.108396643792088
"MCCC1","ENSG00000078070",-0.0175049380423795,3.50097258640283,0.259812490807212,0.533245423584215,"NONE",-1.12787169649731
"CELF4","ENSG00000101489",0.0362470765136926,5.31072397461721,0.255123245862321,0.528238394273378,"NONE",1.13905259686486
"RBM27","ENSG00000091009",-0.0175736676388105,2.79698155884398,0.32101564068859,0.589792317004223,"NONE",-0.993171633112625
"","ENSG00000256008",-0.0451468351914102,3.49264653916529,0.265846864770535,0.539714698129267,"NONE",-1.11368764175542
"CDKN2A","ENSG00000147889",0.0355117488862625,1.55014537794684,0.49554983396368,0.732839530090566,"NONE",0.681913028323567
"TLL2","ENSG00000095587",-0.0252435072496877,1.31091088659146,0.534389427761446,0.760632894108606,"NONE",-0.621668594052069
"RPL34","ENSG00000109475",0.0263338350684732,6.02044905586189,0.281305458214613,0.55406380872402,"NONE",1.07833545775344
"DNAJC16","ENSG00000116138",-0.0161534597369863,3.14474821902444,0.288720139025604,0.56053906185918,"NONE",-1.06184797679876
"PSMD2","ENSG00000175166",-0.0191341782625463,4.92082794888298,0.248316776149591,0.521435187556494,"NONE",-1.15553964644184
"PGBD4","ENSG00000182405",0.0244284609988119,2.07366973045704,0.42768207776025,0.681929777273961,"NONE",0.793688223341727
"KIAA0100","ENSG00000007202",0.0203626279277422,3.82995211753633,0.24793604934633,0.521433556596257,"NONE",1.15647116120934
"TBL2","ENSG00000106638",-0.0209512981397131,2.49384423886472,0.365957975953592,0.630626535286384,"NONE",-0.904736773273629
"SMNDC1","ENSG00000119953",0.0234285447959488,3.26566878143474,0.275960767405979,0.549287030373381,"NONE",1.09040422099297
"GDPD5","ENSG00000158555",0.0260840026746609,2.35557660502961,0.381790320627081,0.64435706962456,"NONE",0.875228200232059
"FAM212A","ENSG00000185614",0.0329711673144675,2.39014910483667,0.374725167652231,0.637512685499697,"NONE",0.888300715737364
"","ENSG00000278989",0.0353357974475221,3.37565435300911,0.273562318666747,0.546879572548407,"NONE",1.09587206034487
"BLOC1S2","ENSG00000196072",-0.0253461139414339,4.38071667136393,0.247236609342334,0.520630642122173,"NONE",-1.15818508232756
"MED11","ENSG00000161920",0.0232894651334459,2.49918222285103,0.351731212552938,0.617347558571847,"NONE",0.931941607165567
"SPAG16","ENSG00000144451",-0.0278464457356291,3.00773821146962,0.299766746470782,0.571180183345527,"NONE",-1.03780635354188
"QRICH1","ENSG00000198218",-0.0173979311272952,3.94483953537491,0.246935220678968,0.520185052067192,"NONE",-1.15892466012763
"LINC00854","ENSG00000236383",-0.0253450086137606,0.93922620783063,0.600700019856246,0.801531990277135,"NONE",-0.52366438632982
"LINC01250","ENSG00000234423",-0.0341385080574743,1.88247475750053,0.454779166802372,0.702681044967345,"NONE",-0.747943569888328
"THSD7A","ENSG00000005108",0.0333757500066731,2.54129197977147,0.361735936933924,0.626947417157975,"NONE",0.912739725198381
"CALHM2","ENSG00000138172",0.0279839379997262,2.34332914463261,0.39194894841192,0.651813730182982,"NONE",0.856689775734253
"CDK13","ENSG00000065883",0.0141334562929663,3.73621664030516,0.250185253758166,0.523892469872529,"NONE",1.1509825452157
"CACNA1H","ENSG00000196557",-0.0330811393159314,1.81440590010274,0.466511837775727,0.711456586921167,"NONE",-0.728617956032277
"NKAIN4","ENSG00000101198",-0.0754297335814091,3.25558500240219,0.273761097132047,0.546969009402512,"NONE",-1.0954176525459
"BPIFB9P","ENSG00000125997",-0.035684702138564,2.16655019982981,0.419883687161707,0.675837514389802,"NONE",-0.807162869395965
"BZW2","ENSG00000136261",-0.0314568132230475,3.10455754142331,0.296181706492461,0.567239459321765,"NONE",-1.04554255501137
"C1R","ENSG00000159403",0.0821570935030329,2.92297700438129,0.309399211383237,0.578572091487127,"NONE",1.0173215730432
"RGS10","ENSG00000148908",-0.0691015694196655,2.72764395586093,0.332890614968589,0.601016714190243,"NONE",-0.969068705038504
"RPS21","ENSG00000171858",0.0319670351183259,6.31584931511649,0.294763061094724,0.566142628134237,"NONE",1.04862120256528
"NPIPB6","ENSG00000198156",0.0488968853963909,1.74201011991153,0.453885944800648,0.702185074178563,"NONE",0.749426274403175
"PTPRJ","ENSG00000149177",-0.0219222904027587,3.37172754014678,0.266674664170711,0.540441739622559,"NONE",-1.11175927994251
"FARP2","ENSG00000006607",0.0180984193225533,2.63920040024898,0.350207637739543,0.615849770249849,"NONE",0.934895989432355
"TP53I13","ENSG00000167543",-0.0278911460362146,3.02329284527695,0.297857218008516,0.569092418888616,"NONE",-1.04191918775233
"RIF1","ENSG00000080345",0.0202200504168424,3.43881678131616,0.264760550132785,0.538448711577169,"NONE",1.11622451406338
"PLPP2","ENSG00000141934",0.0470376558227117,2.39032954139848,0.371299389292113,0.634928052559617,"NONE",0.894694315204666
"STARD3NL","ENSG00000010270",-0.019412841229431,3.88643251114936,0.248039169665018,0.521435187556494,"NONE",-1.15621876028036
"CCDC18","ENSG00000122483",0.0315472330823243,1.87948438452209,0.445850550357304,0.695962949649263,"NONE",0.762839686229327
"","ENSG00000224592",-0.0407083209740735,2.29545761285563,0.393663329979519,0.65335899677115,"NONE",-0.853590225554194
"CLPB","ENSG00000162129",0.0394992757678909,3.09340199564484,0.307061143121735,0.576514677488536,"NONE",1.02225438706707
