GeneID	RNAseq wt_1	RNAseq wt_2	RNAseq wt_3	RNAseq APP_1	RNAseq APP_2	RNAseq APP_3	RNAseq PSEN_1	RNAseq PSEN_2	RNAseq PSEN_3	RNAseq APP/PSEN1_1	RNAseq APP/PSEN1_2	RNAseq APP/PSEN1_3
ENSG00000224387	4	5	5	1	2	1	3	4	5	1	2	3
ENSG00000229393	4	13	3	2	2	3	6	8	1	2	3	4
ENSG00000157881	604	642	672	562	408	614	763	1015	666	350	662	552
ENSG00000197921	69	52	56	91	63	91	28	24	17	31	50	24
ENSG00000272449	0	1	1	1	1	2	0	2	0	0	1	3
ENSG00000238164	0	3	0	3	3	0	1	3	2	1	2	3
ENSG00000157873	3	0	0	2	0	3	1	1	1	5	2	7
ENSG00000225931	0	0	0	0	1	1	0	1	1	0	0	0
ENSG00000228037	6	11	4	6	1	7	6	10	1	4	11	7
ENSG00000157870	468	523	503	578	405	583	462	616	387	215	399	323
ENSG00000142606	2	7	1	7	6	7	1	1	0	0	4	0
ENSG00000237058	0	0	1	3	0	0	0	0	0	0	0	0
ENSG00000215912	12	21	16	20	8	10	2	6	3	2	9	3
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000231630	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000177133	8	7	2	97	86	96	0	0	0	8	12	16
ENSG00000256761	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	11	10	5	204	197	218	2	5	3	15	37	25
ENSG00000226286	0	0	0	4	0	3	0	0	0	0	0	0
ENSG00000272235	0	1	0	1	5	3	1	0	0	3	3	3
ENSG00000130762	35	33	25	222	160	215	17	20	18	15	42	30
ENSG00000272088	1	2	1	5	4	7	0	1	0	2	3	0
ENSG00000162591	24	27	24	76	64	100	67	76	47	57	77	73
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	2	1	2	2	2	4	2	1	1	3	3	8
ENSG00000158109	468	512	484	780	590	678	536	773	453	338	590	444
ENSG00000116213	125	144	135	176	149	184	172	231	143	85	171	168
ENSG00000078900	13	8	25	23	23	22	14	17	10	18	13	10
ENSG00000227589	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000235131	0	0	0	0	0	3	0	0	0	0	3	1
ENSG00000227372	428	447	456	688	520	649	491	751	475	284	522	458
ENSG00000162592	1	0	1	2	6	3	1	5	4	3	9	2
ENSG00000235169	1	0	2	2	3	3	2	2	1	1	4	1
ENSG00000130764	991	1085	1102	1302	963	1271	1409	2059	1375	580	1071	890
ENSG00000266075	0	1	1	2	2	0	3	3	1	1	0	0
ENSG00000272153	6	12	9	7	6	4	9	12	6	5	5	7
ENSG00000116198	393	429	440	649	532	544	525	769	454	324	555	478
ENSG00000169598	100	107	110	109	95	119	135	157	128	72	140	122
