"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"RP11-258C19.7","ENSG00000270189",0.802505042,4.305565085,1.95e-07,1.3e-06,"NONE"
"KIF18B","ENSG00000186185",-2.63275572,-0.54698816,1.95e-07,1.3e-06,"DOWN"
"FOXM1","ENSG00000111206",-1.098852082,1.680455638,1.97e-07,1.3e-06,"DOWN"
"PLEKHG4","ENSG00000196155",-2.652934941,0.180084414,1.97e-07,1.3e-06,"DOWN"
"KIAA1107","ENSG00000069712",0.711968602,4.21457172,1.98e-07,1.31e-06,"NONE"
"ZNF680","ENSG00000173041",-0.603467315,4.957739207,1.98e-07,1.31e-06,"NONE"
NA,"ENSG00000108270",-0.595164428,5.055540229,1.99e-07,1.32e-06,"NONE"
"SLC6A2","ENSG00000103546",-2.986260983,-0.816354548,2.01e-07,1.33e-06,"DOWN"
"FBXL3","ENSG00000005812",0.723788045,6.879687385,2.02e-07,1.34e-06,"NONE"
"BAG1","ENSG00000107262",-0.549539714,5.58325132,2.02e-07,1.34e-06,"NONE"
"KIAA1614","ENSG00000135835",0.918607685,3.890821134,2.05e-07,1.36e-06,"NONE"
"HMOX1","ENSG00000100292",-1.0520562,3.952834252,2.06e-07,1.36e-06,"DOWN"
"SMCO2","ENSG00000165935",3.662682469,-0.785702769,2.07e-07,1.37e-06,"UP"
"HEATR4","ENSG00000187105",1.981997891,0.505961934,2.07e-07,1.37e-06,"UP"
"BHLHE40-AS1","ENSG00000235831",1.37110895,1.422008056,2.08e-07,1.38e-06,"UP"
"PBX1","ENSG00000185630",0.612503773,8.128766074,2.09e-07,1.38e-06,"NONE"
"CCNG2","ENSG00000138764",0.527726706,6.190551808,2.09e-07,1.38e-06,"NONE"
"CAMKV","ENSG00000164076",-0.83359159,5.276048644,2.11e-07,1.39e-06,"NONE"
"WTAP","ENSG00000146457",0.458059225,6.155352596,2.12e-07,1.4e-06,"NONE"
"RP11-146D12.2","ENSG00000240240",3.310783059,-0.90635915,2.15e-07,1.42e-06,"UP"
"GAL3ST3","ENSG00000175229",0.920189599,3.496693275,2.16e-07,1.42e-06,"NONE"
"EFNB2","ENSG00000125266",0.575373014,6.218368281,2.17e-07,1.43e-06,"NONE"
